dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE84437	GSM2235789	Y3912T	MSI	0.209241	MSS/TP53+	0.0290094	0.180231	medium	0.993601	-0.109343	0.209241	-0.105947	0.0290094	15335
GSE84437	GSM2235790	Y3831T	MSS/TP53+	0.11144	MSS/TP53-	0.0638093	0.0476302	low	0.998144	-0.0548307	-0.04792	0.0638093	0.11144	15335
GSE84437	GSM2235791	Y3920T	EMT	0.372288	MSI	-0.165124	0.537412	high	0.974386	0.372288	-0.165124	-0.247227	-0.168724	15335
GSE84437	GSM2235792	Y3926T	MSI	0.0898384	EMT	0.0031569	0.0866815	medium	0.998262	0.0031569	0.0898384	-0.106663	-0.00838631	15335
GSE84437	GSM2235793	Y3932T	EMT	0.499763	MSI	-0.233496	0.733258	high	0.95187	0.499763	-0.233496	-0.284095	-0.27569	15335
GSE84437	GSM2235794	Y3934T	EMT	0.0295891	MSS/TP53-	0.0250357	0.00455337	low	0.999284	0.0295891	-0.0106728	0.0250357	-0.0831156	15335
GSE84437	GSM2235795	Y4092T	MSS/TP53-	0.0595639	MSI	0.00767524	0.0518887	low	0.999272	-0.0161	0.00767524	0.0595639	-0.0651761	15335
GSE84437	GSM2235796	Y4095T	EMT	0.293647	MSI	-0.115565	0.409213	high	0.984194	0.293647	-0.115565	-0.198543	-0.153647	15335
GSE84437	GSM2235797	Y4101T	MSI	0.293172	MSS/TP53+	0.0183319	0.274841	high	0.987061	-0.238089	0.293172	-0.00543692	0.0183319	15335
GSE84437	GSM2235798	Y4107T	MSS/TP53-	0.206836	MSI	0.198998	0.00783834	low	0.985673	-0.321663	0.198998	0.206836	0.0569067	15335
GSE84437	GSM2235799	Y4109T	MSI	0.184103	MSS/TP53-	0.15103	0.0330727	low	0.989165	-0.28209	0.184103	0.15103	0.0775317	15335
GSE84437	GSM2235800	Y4138T	EMT	0.338411	MSS/TP53+	-0.0328518	0.371263	high	0.979248	0.338411	-0.246146	-0.191987	-0.0328518	15335
GSE84437	GSM2235801	Y4142T	MSS/TP53+	0.202575	EMT	0.112241	0.0903344	medium	0.991375	0.112241	-0.201573	-0.0658174	0.202575	15335
GSE84437	GSM2235802	Y4507T	MSI	0.247976	MSS/TP53+	-0.0451107	0.293087	high	0.99142	-0.10149	0.247976	-0.11354	-0.0451107	15335
GSE84437	GSM2235803	Y4531T	MSI	0.23596	MSS/TP53-	0.0110083	0.224952	high	0.991695	-0.182991	0.23596	0.0110083	-0.0267891	15335
GSE84437	GSM2235804	Y4548T	EMT	0.196138	MSS/TP53+	-0.00426133	0.2004	high	0.992539	0.196138	-0.203744	-0.0481841	-0.00426133	15335
GSE84437	GSM2235805	Y4568T	EMT	0.299071	MSS/TP53-	-0.143956	0.443026	high	0.983966	0.299071	-0.162678	-0.143956	-0.16287	15335
GSE84437	GSM2235806	Y4580T	MSS/TP53+	0.164191	MSS/TP53-	0.104266	0.0599248	low	0.995522	-0.126285	-0.0220032	0.104266	0.164191	15335
GSE84437	GSM2235807	Y4588T	MSI	0.0976245	MSS/TP53+	0.060137	0.0374875	low	0.997108	-0.140071	0.0976245	0.0527713	0.060137	15335
GSE84437	GSM2235808	Y4430T	MSS/TP53+	0.13969	MSI	0.042247	0.0974431	medium	0.997545	-0.0776644	0.042247	-0.0291582	0.13969	15335
GSE84437	GSM2235809	Y2827T	MSI	0.085517	MSS/TP53+	0.0433502	0.0421667	low	0.998167	-0.0172361	0.085517	-0.106137	0.0433502	15335
GSE84437	GSM2235810	Y3944T	MSI	0.41442	MSS/TP53+	0.022476	0.391944	high	0.974426	-0.326071	0.41442	-0.0211169	0.022476	15335
GSE84437	GSM2235811	Y3958T	MSI	0.132786	EMT	-0.0186112	0.151398	medium	0.997201	-0.0186112	0.132786	-0.100074	-0.0453953	15335
GSE84437	GSM2235812	Y3976T	MSS/TP53-	0.160114	MSI	0.0996177	0.0604967	low	0.993445	-0.209841	0.0996177	0.160114	0.0532309	15335
GSE84437	GSM2235813	Y3983T	MSS/TP53-	0.160027	MSS/TP53+	0.114122	0.0459052	low	0.995291	-0.124513	-0.0422186	0.160027	0.114122	15335
GSE84437	GSM2235814	Y4162T	EMT	0.0397374	MSS/TP53+	0.0241412	0.0155962	low	0.999306	0.0397374	-0.000264249	-0.0759864	0.0241412	15335
GSE84437	GSM2235815	Y4180T	MSS/TP53-	0.186713	MSI	0.130767	0.0559464	low	0.991695	-0.210059	0.130767	0.186713	-0.0398527	15335
GSE84437	GSM2235816	Y4189T	MSI	0.10341	MSS/TP53+	0.0921364	0.0112732	low	0.997373	-0.0831027	0.10341	-0.0617674	0.0921364	15335
GSE84437	GSM2235817	Y4190T	MSS/TP53-	0.123612	MSS/TP53+	0.0579715	0.0656404	low	0.996594	-0.145077	0.0460224	0.123612	0.0579715	15335
GSE84437	GSM2235818	Y4194T	MSI	0.394851	MSS/TP53+	-0.0334346	0.428286	high	0.977503	-0.186912	0.394851	-0.168927	-0.0334346	15335
GSE84437	GSM2235819	Y4197T	MSS/TP53-	0.160215	MSI	0.0729345	0.0872808	medium	0.995237	-0.141987	0.0729345	0.160215	-0.0496106	15335
GSE84437	GSM2235820	Y4198T	EMT	0.306608	MSS/TP53+	-0.061326	0.367934	high	0.983361	0.306608	-0.219338	-0.156785	-0.061326	15335
GSE84437	GSM2235821	Y4204T	MSI	0.201447	MSS/TP53+	0.0290942	0.172353	medium	0.994133	-0.138617	0.201447	-0.0526067	0.0290942	15335
GSE84437	GSM2235822	Y4214T	MSS/TP53-	0.238827	MSI	0.0269977	0.211829	high	0.992017	-0.175446	0.0269977	0.238827	-0.0103992	15335
GSE84437	GSM2235823	Y4216T	EMT	0.449467	MSS/TP53+	-0.127778	0.577245	high	0.963026	0.449467	-0.296874	-0.233508	-0.127778	15335
GSE84437	GSM2235824	Y4221T	EMT	0.568564	MSS/TP53+	-0.237584	0.806148	high	0.938561	0.568564	-0.349171	-0.275087	-0.237584	15335
GSE84437	GSM2235825	Y4222T	EMT	0.251327	MSS/TP53-	-0.0724004	0.323727	high	0.988143	0.251327	-0.149095	-0.0724004	-0.186246	15335
GSE84437	GSM2235826	Y4236T	MSS/TP53-	0.101217	MSI	0.0943226	0.00689424	low	0.996827	-0.120363	0.0943226	0.101217	-0.0484039	15335
GSE84437	GSM2235827	Y4244T	EMT	0.550896	MSS/TP53+	-0.24883	0.799726	high	0.942301	0.550896	-0.339572	-0.252313	-0.24883	15335
GSE84437	GSM2235828	Y4812T	MSI	0.163642	EMT	0.126088	0.0375535	low	0.987651	0.126088	0.163642	-0.301643	-0.123256	15335
GSE84437	GSM2235829	Y4863T	MSI	0.311486	MSS/TP53+	0.0497562	0.26173	high	0.985539	-0.236144	0.311486	-0.0517757	0.0497562	15335
GSE84437	GSM2235830	Y4869T	MSS/TP53-	0.113269	MSS/TP53+	0.0657848	0.047484	low	0.996424	-0.153868	0.0612429	0.113269	0.0657848	15335
GSE84437	GSM2235831	Y4889T	MSS/TP53-	0.171834	MSS/TP53+	0.104641	0.0671931	low	0.994432	-0.166182	0.00567682	0.171834	0.104641	15335
GSE84437	GSM2235837	Y4188T	EMT	0.035084	MSS/TP53-	-0.00351358	0.0385976	low	0.999777	0.035084	-0.0303813	-0.00351358	-0.0188685	15335
GSE84437	GSM2235838	Y4617T	EMT	0.119741	MSS/TP53-	-0.016871	0.136612	medium	0.997394	0.119741	-0.106776	-0.016871	-0.0518457	15335
GSE84437	GSM2235839	Y4638T	MSI	0.0594576	MSS/TP53+	0.00261837	0.0568393	low	0.999502	-0.0436121	0.0594576	-0.00738679	0.00261837	15335
GSE84437	GSM2235840	Y4658T	MSS/TP53-	0.0925592	MSI	-0.00613745	0.0986966	medium	0.998956	-0.0449899	-0.00613745	0.0925592	-0.0256003	15335
GSE84437	GSM2235841	Y4689T	MSS/TP53+	0.0332907	MSS/TP53-	0.0140813	0.0192094	low	0.999744	0.00706759	-0.039613	0.0140813	0.0332907	15335
GSE84437	GSM2235842	Y4708T	MSS/TP53-	0.148947	MSI	-0.00253996	0.151487	medium	0.997167	-0.0754788	-0.00253996	0.148947	-0.0472761	15335
GSE84437	GSM2235843	Y4721T	MSS/TP53+	0.0695758	MSS/TP53-	0.0407224	0.0288534	low	0.999237	-0.0249928	-0.0422632	0.0407224	0.0695758	15335
GSE84437	GSM2235844	Y4724T	MSI	0.27412	MSS/TP53+	0.0332197	0.2409	high	0.98843	-0.23186	0.27412	-0.00215498	0.0332197	15335
